customer_id,full_name,phone_number,home_city,segment,join_date,tenure_months,avg_monthly_topup_idr,device_changes_last_12mo
CUST10000,"Balidin Dongoran, S.T.",080227680402,Malang,Prepaid,2025-08-05,11,41000,0
CUST10001,Darmana Mandala,080165258086,Yogyakarta,Postpaid,2026-06-01,1,98000,1
CUST10002,"Ciaobella Wastuti, M.Pd",081930086875,Makassar,Prepaid,2024-02-12,29,66000,0
CUST10003,Lantar Anggraini,085868570220,Palembang,Prepaid,2026-03-03,4,107000,0
CUST10004,Among Iswahyudi,083481367606,Medan,Prepaid,2025-02-06,17,16000,1
CUST10005,Daruna Mayasari,081396568720,Yogyakarta,Postpaid,2025-11-03,8,63000,0
CUST10006,Cut Putri Napitupulu,082298363942,Makassar,Prepaid,2025-05-07,14,60000,0
CUST10007,"Sadina Palastri, S.Farm",085745391478,Medan,Postpaid,2024-10-09,21,109000,0
CUST10008,Ikin Rahmawati,087403959807,Surabaya,Postpaid,2024-09-09,22,61000,0
CUST10009,Yessi Ardianto,087732107797,Malang,Postpaid,2024-04-12,27,123000,0
CUST10010,"KH. Capa Anggraini, S.Psi",088266175750,Yogyakarta,Prepaid,2026-04-02,3,64000,1
CUST10011,Eva Pratama,080988308904,Makassar,Prepaid,2024-05-12,26,85000,0
CUST10012,"Tgk. Baktiono Iswahyudi, S.Sos",087145284257,Bandung,Postpaid,2025-02-06,17,32000,4
CUST10013,Gatot Situmorang,083638420055,Medan,Prepaid,2021-06-27,61,93000,0
CUST10014,Tgk. Yani Gunawan,087000352457,Jakarta,Prepaid,2026-02-01,5,80000,0
CUST10015,"Michelle Nasyiah, S.IP",084781044476,Balikpapan,Postpaid,2025-12-03,7,73000,1
CUST10016,Cindy Puspasari,080781151148,Malang,Prepaid,2025-12-03,7,40000,1
CUST10017,Yance Utami,088806500724,Bandung,Prepaid,2017-12-15,104,90000,1
CUST10018,dr. Ratih Nababan,088910397267,Denpasar,Postpaid,2026-06-01,1,108000,2
CUST10019,"Betania Gunawan, S.H.",081295570558,Yogyakarta,Prepaid,2025-09-04,10,121000,0
CUST10020,"T. Bahuwirya Pradipta, S.IP",089015621825,Surabaya,Prepaid,2022-08-21,47,25000,0
CUST10021,Indah Hasanah,084559272362,Balikpapan,Prepaid,2025-11-03,8,129000,0
CUST10022,"Rafid Utama, S.E.",080650551302,Makassar,Prepaid,2023-12-14,31,118000,0
